Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Partido,Resultado ,Rueda,Etapa
7/5/2026,TOP 14 2026,Fecha 14,13:39:14,15:05:39,Ball in Play,,0:00:14,0:00:47,32.14,BAC 2,Perdido,VUELTA,Fase Regular
7/5/2026,TOP 14 2026,Fecha 14,13:39:14,15:05:39,Ball in Play,,0:02:34,0:03:01,26.62,BAC 2,Perdido,VUELTA,Fase Regular
7/5/2026,TOP 14 2026,Fecha 14,13:39:14,15:05:39,Ball in Play,,0:04:15,0:05:08,53.78,BAC 2,Perdido,VUELTA,Fase Regular
7/5/2026,TOP 14 2026,Fecha 14,13:39:14,15:05:39,Ball in Play,,0:05:48,0:06:19,31.42,BAC 2,Perdido,VUELTA,Fase Regular
7/5/2026,TOP 14 2026,Fecha 14,13:39:14,15:05:39,Ball in Play,,0:08:10,0:09:09,59.24,BAC 2,Perdido,VUELTA,Fase Regular
7/5/2026,TOP 14 2026,Fecha 14,13:39:14,15:05:39,Ball in Play,Verde - Scrum,0:10:39,0:11:41,62.574,BAC 2,Perdido,VUELTA,Fase Regular
7/5/2026,TOP 14 2026,Fecha 14,13:39:14,15:05:39,Ball in Play,,0:13:15,0:13:46,31.729,BAC 2,Perdido,VUELTA,Fase Regular
7/5/2026,TOP 14 2026,Fecha 14,13:39:14,15:05:39,Ball in Play,,0:14:23,0:14:28,4.8,BAC 2,Perdido,VUELTA,Fase Regular
7/5/2026,TOP 14 2026,Fecha 14,13:39:14,15:05:39,Ball in Play,,0:15:07,0:15:41,33.197,BAC 2,Perdido,VUELTA,Fase Regular
7/5/2026,TOP 14 2026,Fecha 14,13:39:14,15:05:39,Ball in Play,,0:15:50,0:16:31,40.945,BAC 2,Perdido,VUELTA,Fase Regular
7/5/2026,TOP 14 2026,Fecha 14,13:39:14,15:05:39,Ball in Play,,0:17:00,0:17:34,33.376,BAC 2,Perdido,VUELTA,Fase Regular
7/5/2026,TOP 14 2026,Fecha 14,13:39:14,15:05:39,Ball in Play,,0:19:08,0:19:41,32.083,BAC 2,Perdido,VUELTA,Fase Regular
7/5/2026,TOP 14 2026,Fecha 14,13:39:14,15:05:39,Ball in Play,,0:20:39,0:20:44,5.682,BAC 2,Perdido,VUELTA,Fase Regular
