Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Partido,Resultado ,Rueda,Etapa
3/29/2026,Top14 2026,Fecha 3,20:36:33,22:03:11,Ball in Play,,0:00:00,0:00:13,13.839,Newman,Ganado,IDA,Fase Regular
3/29/2026,Top14 2026,Fecha 3,20:36:33,22:03:11,Ball in Play,,0:00:37,0:01:15,38.18,Newman,Ganado,IDA,Fase Regular
3/29/2026,Top14 2026,Fecha 3,20:36:33,22:03:11,Ball in Play,,0:02:54,0:03:05,10.68,Newman,Ganado,IDA,Fase Regular
3/29/2026,Top14 2026,Fecha 3,20:36:33,22:03:11,Ball in Play,,0:03:46,0:04:26,39.52,Newman,Ganado,IDA,Fase Regular
3/29/2026,Top14 2026,Fecha 3,20:36:33,22:03:11,Ball in Play,,0:06:16,0:06:55,39.12,Newman,Ganado,IDA,Fase Regular
3/29/2026,Top14 2026,Fecha 3,20:36:33,22:03:11,Ball in Play,,0:07:24,0:07:56,31.76,Newman,Ganado,IDA,Fase Regular
3/29/2026,Top14 2026,Fecha 3,20:36:33,22:03:11,Ball in Play,,0:09:06,0:09:35,28.74,Newman,Ganado,IDA,Fase Regular
3/29/2026,Top14 2026,Fecha 3,20:36:33,22:03:11,Ball in Play,,0:09:57,0:10:19,21.88,Newman,Ganado,IDA,Fase Regular
3/29/2026,Top14 2026,Fecha 3,20:36:33,22:03:11,Ball in Play,,0:11:17,0:11:39,21.82,Newman,Ganado,IDA,Fase Regular
3/29/2026,Top14 2026,Fecha 3,20:36:33,22:03:11,Ball in Play,,0:12:22,0:12:26,3.8,Newman,Ganado,IDA,Fase Regular
3/29/2026,Top14 2026,Fecha 3,20:36:33,22:03:11,Ball in Play,Verde - Scrum ,0:12:29,0:14:28,118.98,Newman,Ganado,IDA,Fase Regular
3/29/2026,Top14 2026,Fecha 3,20:36:33,22:03:11,Ball in Play,,0:16:30,0:16:37,7.14,Newman,Ganado,IDA,Fase Regular
