Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Partido,Resultado ,Rueda,Etapa
5/31/2026,TOP 14 2026,Fecha 10,14:12:19,15:45:22,Ball in Play,Verde - Line Out,0:00:15,0:02:13,118.1,Los Tilos,Perdido,IDA,Fase Regular
5/31/2026,TOP 14 2026,Fecha 10,14:12:19,15:45:22,Ball in Play,,0:02:38,0:03:14,36.286,Los Tilos,Perdido,IDA,Fase Regular
5/31/2026,TOP 14 2026,Fecha 10,14:12:19,15:45:22,Ball in Play,,0:03:38,0:04:03,25.432,Los Tilos,Perdido,IDA,Fase Regular
5/31/2026,TOP 14 2026,Fecha 10,14:12:19,15:45:22,Ball in Play,,0:04:08,0:04:21,13.292,Los Tilos,Perdido,IDA,Fase Regular
5/31/2026,TOP 14 2026,Fecha 10,14:12:19,15:45:22,Ball in Play,,0:05:02,0:05:22,19.407,Los Tilos,Perdido,IDA,Fase Regular
5/31/2026,TOP 14 2026,Fecha 10,14:12:19,15:45:22,Ball in Play,,0:05:50,0:05:54,3.312,Los Tilos,Perdido,IDA,Fase Regular
5/31/2026,TOP 14 2026,Fecha 10,14:12:19,15:45:22,Ball in Play,,0:06:00,0:06:14,13.604,Los Tilos,Perdido,IDA,Fase Regular
5/31/2026,TOP 14 2026,Fecha 10,14:12:19,15:45:22,Ball in Play,,0:07:30,0:08:19,49.2,Los Tilos,Perdido,IDA,Fase Regular
5/31/2026,TOP 14 2026,Fecha 10,14:12:19,15:45:22,Ball in Play,,0:08:45,0:09:24,38.54,Los Tilos,Perdido,IDA,Fase Regular
5/31/2026,TOP 14 2026,Fecha 10,14:12:19,15:45:22,Ball in Play,,0:09:52,0:09:56,3.9,Los Tilos,Perdido,IDA,Fase Regular
5/31/2026,TOP 14 2026,Fecha 10,14:12:19,15:45:22,Ball in Play,,0:10:08,0:10:50,41.5,Los Tilos,Perdido,IDA,Fase Regular
5/31/2026,TOP 14 2026,Fecha 10,14:12:19,15:45:22,Ball in Play,,0:11:29,0:11:53,24.26,Los Tilos,Perdido,IDA,Fase Regular
5/31/2026,TOP 14 2026,Fecha 10,14:12:19,15:45:22,Ball in Play,,0:12:25,0:12:37,12,Los Tilos,Perdido,IDA,Fase Regular
5/31/2026,TOP 14 2026,Fecha 10,14:12:19,15:45:22,Ball in Play,,0:13:28,0:13:34,5.94,Los Tilos,Perdido,IDA,Fase Regular
5/31/2026,TOP 14 2026,Fecha 10,14:12:19,15:45:22,Ball in Play,,0:13:52,0:14:27,35.168,Los Tilos,Perdido,IDA,Fase Regular
5/31/2026,TOP 14 2026,Fecha 10,14:12:19,15:45:22,Ball in Play,,0:14:59,0:15:39,39.824,Los Tilos,Perdido,IDA,Fase Regular
5/31/2026,TOP 14 2026,Fecha 10,14:12:19,15:45:22,Ball in Play,,0:16:15,0:16:58,43.601,Los Tilos,Perdido,IDA,Fase Regular
5/31/2026,TOP 14 2026,Fecha 10,14:12:19,15:45:22,Ball in Play,,0:17:44,0:18:33,48.326,Los Tilos,Perdido,IDA,Fase Regular
5/31/2026,TOP 14 2026,Fecha 10,14:12:19,15:45:22,Ball in Play,,0:19:33,0:19:55,21.827,Los Tilos,Perdido,IDA,Fase Regular
5/31/2026,TOP 14 2026,Fecha 10,14:12:19,15:45:22,Ball in Play,Verde - Scrum,0:21:46,0:22:47,61.176,Los Tilos,Perdido,IDA,Fase Regular
5/31/2026,TOP 14 2026,Fecha 10,14:12:19,15:45:22,Ball in Play,,0:23:33,0:23:43,9.279,Los Tilos,Perdido,IDA,Fase Regular
5/31/2026,TOP 14 2026,Fecha 10,14:12:19,15:45:22,Ball in Play,,0:24:47,0:24:56,8.912,Los Tilos,Perdido,IDA,Fase Regular
5/31/2026,TOP 14 2026,Fecha 10,14:12:19,15:45:22,Ball in Play,Rojo - Line Out,0:25:45,0:27:00,75.829,Los Tilos,Perdido,IDA,Fase Regular
5/31/2026,TOP 14 2026,Fecha 10,14:12:19,15:45:22,Ball in Play,,0:30:46,0:30:59,12.916,Los Tilos,Perdido,IDA,Fase Regular
5/31/2026,TOP 14 2026,Fecha 10,14:12:19,15:45:22,Ball in Play,,0:31:16,0:31:33,17.676,Los Tilos,Perdido,IDA,Fase Regular
