Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Partido,Resultado ,Rueda,Etapa
6/28/2026,TOP 14 2026,Fecha 13,11:21:34,12:36:21,Ball in Play,Rojo - Penal,0:00:02,0:01:05,63.7,BA,Ganado,IDA,Fase Regular
6/28/2026,TOP 14 2026,Fecha 13,11:21:34,12:36:21,Ball in Play,,0:02:08,0:02:36,27.7,BA,Ganado,IDA,Fase Regular
6/28/2026,TOP 14 2026,Fecha 13,11:21:34,12:36:21,Ball in Play,,0:03:32,0:04:10,37.48,BA,Ganado,IDA,Fase Regular
6/28/2026,TOP 14 2026,Fecha 13,11:21:34,12:36:21,Ball in Play,,0:05:07,0:05:45,37.58,BA,Ganado,IDA,Fase Regular
6/28/2026,TOP 14 2026,Fecha 13,11:21:34,12:36:21,Ball in Play,,0:06:44,0:06:55,10.66,BA,Ganado,IDA,Fase Regular
6/28/2026,TOP 14 2026,Fecha 13,11:21:34,12:36:21,Ball in Play,,0:08:30,0:08:39,8.82,BA,Ganado,IDA,Fase Regular
6/28/2026,TOP 14 2026,Fecha 13,11:21:34,12:36:21,Ball in Play,,0:09:58,0:10:01,2.9,BA,Ganado,IDA,Fase Regular
6/28/2026,TOP 14 2026,Fecha 13,11:21:34,12:36:21,Ball in Play,,0:10:02,0:10:59,57.88,BA,Ganado,IDA,Fase Regular
6/28/2026,TOP 14 2026,Fecha 13,11:21:34,12:36:21,Ball in Play,,0:12:06,0:12:47,41.2,BA,Ganado,IDA,Fase Regular
6/28/2026,TOP 14 2026,Fecha 13,11:21:34,12:36:21,Ball in Play,,0:14:14,0:14:27,12.5,BA,Ganado,IDA,Fase Regular
6/28/2026,TOP 14 2026,Fecha 13,11:21:34,12:36:21,Ball in Play,Verde - Penal,0:15:43,0:16:59,76.34,BA,Ganado,IDA,Fase Regular
6/28/2026,TOP 14 2026,Fecha 13,11:21:34,12:36:21,Ball in Play,Verde - Penal,0:18:04,0:19:39,95.244,BA,Ganado,IDA,Fase Regular
