Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Partido,Resultado ,Rueda,Etapa
16-08-26,TOP 14 2026,Fecha 18,10:56:13,12:23:11,Ball in Play,Verde - Penal,0:00:21,0:01:59,97.5,Champagnat 2,Ganado,VUELTA,Fase Regular
16-08-26,TOP 14 2026,Fecha 18,10:56:13,12:23:11,Ball in Play,,0:04:16,0:04:20,3.6,Champagnat 2,Ganado,VUELTA,Fase Regular
16-08-26,TOP 14 2026,Fecha 18,10:56:13,12:23:11,Ball in Play,Rojo - Penal,0:05:44,0:07:25,100.26,Champagnat 2,Ganado,VUELTA,Fase Regular
16-08-26,TOP 14 2026,Fecha 18,10:56:13,12:23:11,Ball in Play,Rojo - Line Out,0:08:18,0:09:23,65.42,Champagnat 2,Ganado,VUELTA,Fase Regular
16-08-26,TOP 14 2026,Fecha 18,10:56:13,12:23:11,Ball in Play,,0:09:59,0:10:29,29.18,Champagnat 2,Ganado,VUELTA,Fase Regular
16-08-26,TOP 14 2026,Fecha 18,10:56:13,12:23:11,Ball in Play,,0:12:18,0:13:06,47.1,Champagnat 2,Ganado,VUELTA,Fase Regular
16-08-26,TOP 14 2026,Fecha 18,10:56:13,12:23:11,Ball in Play,,0:14:01,0:14:57,56.3,Champagnat 2,Ganado,VUELTA,Fase Regular
16-08-26,TOP 14 2026,Fecha 18,10:56:13,12:23:11,Ball in Play,,0:15:59,0:16:20,21.3,Champagnat 2,Ganado,VUELTA,Fase Regular
16-08-26,TOP 14 2026,Fecha 18,10:56:13,12:23:11,Ball in Play,,0:17:19,0:17:40,20.3,Champagnat 2,Ganado,VUELTA,Fase Regular
16-08-26,TOP 14 2026,Fecha 18,10:56:13,12:23:11,Ball in Play,,0:18:07,0:18:24,17.4,Champagnat 2,Ganado,VUELTA,Fase Regular
16-08-26,TOP 14 2026,Fecha 18,10:56:13,12:23:11,Ball in Play,,0:19:23,0:19:39,15.799,Champagnat 2,Ganado,VUELTA,Fase Regular
16-08-26,TOP 14 2026,Fecha 18,10:56:13,12:23:11,Ball in Play,,0:21:21,0:21:27,5.9,Champagnat 2,Ganado,VUELTA,Fase Regular
16-08-26,TOP 14 2026,Fecha 18,10:56:13,12:23:11,Ball in Play,,0:21:44,0:22:05,21.12,Champagnat 2,Ganado,VUELTA,Fase Regular
16-08-26,TOP 14 2026,Fecha 18,10:56:13,12:23:11,Ball in Play,,0:22:59,0:23:44,45.5,Champagnat 2,Ganado,VUELTA,Fase Regular
16-08-26,TOP 14 2026,Fecha 18,10:56:13,12:23:11,Ball in Play,,0:24:42,0:25:01,18.5,Champagnat 2,Ganado,VUELTA,Fase Regular
16-08-26,TOP 14 2026,Fecha 18,10:56:13,12:23:11,Ball in Play,,0:26:30,0:26:52,22.44,Champagnat 2,Ganado,VUELTA,Fase Regular
