Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Partido,Resultado ,Rueda,Etapa
24-08-26,TOP 14 2026,Fecha 19,9:21:00,10:50:33,Ball in Play,Rojo - Penal,0:00:11,0:01:20,69.34,Hindu 2,Perdido,VUELTA,Fase Regular
24-08-26,TOP 14 2026,Fecha 19,9:21:00,10:50:33,Ball in Play,,0:02:13,0:03:03,50.204,Hindu 2,Perdido,VUELTA,Fase Regular
24-08-26,TOP 14 2026,Fecha 19,9:21:00,10:50:33,Ball in Play,,0:04:01,0:04:27,25.929,Hindu 2,Perdido,VUELTA,Fase Regular
24-08-26,TOP 14 2026,Fecha 19,9:21:00,10:50:33,Ball in Play,,0:04:58,0:05:48,50.545,Hindu 2,Perdido,VUELTA,Fase Regular
24-08-26,TOP 14 2026,Fecha 19,9:21:00,10:50:33,Ball in Play,,0:06:21,0:06:47,25.636,Hindu 2,Perdido,VUELTA,Fase Regular
24-08-26,TOP 14 2026,Fecha 19,9:21:00,10:50:33,Ball in Play,Rojo - Line Out,0:08:19,0:09:35,76.772,Hindu 2,Perdido,VUELTA,Fase Regular
24-08-26,TOP 14 2026,Fecha 19,9:21:00,10:50:33,Ball in Play,,0:11:09,0:11:38,28.731,Hindu 2,Perdido,VUELTA,Fase Regular
24-08-26,TOP 14 2026,Fecha 19,9:21:00,10:50:33,Ball in Play,,0:13:17,0:13:38,20.961,Hindu 2,Perdido,VUELTA,Fase Regular
24-08-26,TOP 14 2026,Fecha 19,9:21:00,10:50:33,Ball in Play,,0:14:25,0:14:42,16.5,Hindu 2,Perdido,VUELTA,Fase Regular
24-08-26,TOP 14 2026,Fecha 19,9:21:00,10:50:33,Ball in Play,,0:15:47,0:16:22,34.372,Hindu 2,Perdido,VUELTA,Fase Regular
24-08-26,TOP 14 2026,Fecha 19,9:21:00,10:50:33,Ball in Play,,0:18:02,0:18:18,15.595,Hindu 2,Perdido,VUELTA,Fase Regular
24-08-26,TOP 14 2026,Fecha 19,9:21:00,10:50:33,Ball in Play,,0:18:43,0:19:12,29.115,Hindu 2,Perdido,VUELTA,Fase Regular
24-08-26,TOP 14 2026,Fecha 19,9:21:00,10:50:33,Ball in Play,Verde - Scrum,0:21:26,0:22:50,83.704,Hindu 2,Perdido,VUELTA,Fase Regular
24-08-26,TOP 14 2026,Fecha 19,9:21:00,10:50:33,Ball in Play,,0:23:36,0:23:40,4.64,Hindu 2,Perdido,VUELTA,Fase Regular
24-08-26,TOP 14 2026,Fecha 19,9:21:00,10:50:33,Ball in Play,,0:24:06,0:24:18,11.54,Hindu 2,Perdido,VUELTA,Fase Regular
24-08-26,TOP 14 2026,Fecha 19,9:21:00,10:50:33,Ball in Play,,0:24:47,0:25:29,41.74,Hindu 2,Perdido,VUELTA,Fase Regular
24-08-26,TOP 14 2026,Fecha 19,9:21:00,10:50:33,Ball in Play,,0:26:34,0:27:00,25.84,Hindu 2,Perdido,VUELTA,Fase Regular
24-08-26,TOP 14 2026,Fecha 19,9:21:00,10:50:33,Ball in Play,,0:27:37,0:28:17,40.4,Hindu 2,Perdido,VUELTA,Fase Regular
24-08-26,TOP 14 2026,Fecha 19,9:21:00,10:50:33,Ball in Play,,0:29:57,0:30:16,18.8,Hindu 2,Perdido,VUELTA,Fase Regular
24-08-26,TOP 14 2026,Fecha 19,9:21:00,10:50:33,Ball in Play,,0:30:43,0:31:06,23.52,Hindu 2,Perdido,VUELTA,Fase Regular
24-08-26,TOP 14 2026,Fecha 19,9:21:00,10:50:33,Ball in Play,Rojo - Penal,0:31:35,0:33:24,109.08,Hindu 2,Perdido,VUELTA,Fase Regular
