Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Partido,Resultado ,Rueda,Etapa
3/15/2026,Top 14 2026,Fecha 1,13:59:46,15:22:31,Ball in Play,,0:00:01,0:00:15,14.5,BAC,Ganado,IDA,Fase Regular
3/15/2026,Top 14 2026,Fecha 1,13:59:46,15:22:31,Ball in Play,,0:01:20,0:01:59,39.04,BAC,Ganado,IDA,Fase Regular
3/15/2026,Top 14 2026,Fecha 1,13:59:46,15:22:31,Ball in Play,,0:03:39,0:04:20,41.02,BAC,Ganado,IDA,Fase Regular
3/15/2026,Top 14 2026,Fecha 1,13:59:46,15:22:31,Ball in Play,,0:05:07,0:05:25,18.6,BAC,Ganado,IDA,Fase Regular
3/15/2026,Top 14 2026,Fecha 1,13:59:46,15:22:31,Ball in Play,,0:07:18,0:07:56,37.4,BAC,Ganado,IDA,Fase Regular
3/15/2026,Top 14 2026,Fecha 1,13:59:46,15:22:31,Ball in Play,,0:08:46,0:09:01,14.44,BAC,Ganado,IDA,Fase Regular
3/15/2026,Top 14 2026,Fecha 1,13:59:46,15:22:31,Ball in Play,,0:10:07,0:10:15,8.6,BAC,Ganado,IDA,Fase Regular
3/15/2026,Top 14 2026,Fecha 1,13:59:46,15:22:31,Ball in Play,,0:10:46,0:11:24,38.14,BAC,Ganado,IDA,Fase Regular
3/15/2026,Top 14 2026,Fecha 1,13:59:46,15:22:31,Ball in Play,,0:13:28,0:13:34,6.64,BAC,Ganado,IDA,Fase Regular
3/15/2026,Top 14 2026,Fecha 1,13:59:46,15:22:31,Ball in Play,,0:13:58,0:14:43,44.76,BAC,Ganado,IDA,Fase Regular
3/15/2026,Top 14 2026,Fecha 1,13:59:46,15:22:31,Ball in Play,,0:15:32,0:15:51,18.9,BAC,Ganado,IDA,Fase Regular
3/15/2026,Top 14 2026,Fecha 1,13:59:46,15:22:31,Ball in Play,Rojo - Scrum,0:16:44,0:18:02,77.98,BAC,Ganado,IDA,Fase Regular
3/15/2026,Top 14 2026,Fecha 1,13:59:46,15:22:31,Ball in Play,,0:19:06,0:19:10,4.1,BAC,Ganado,IDA,Fase Regular
3/15/2026,Top 14 2026,Fecha 1,13:59:46,15:22:31,Ball in Play,,0:20:09,0:20:21,12.5,BAC,Ganado,IDA,Fase Regular
3/15/2026,Top 14 2026,Fecha 1,13:59:46,15:22:31,Ball in Play,,0:22:23,0:23:06,43.58,BAC,Ganado,IDA,Fase Regular
3/15/2026,Top 14 2026,Fecha 1,13:59:46,15:22:31,Ball in Play,,0:24:05,0:24:25,20.3,BAC,Ganado,IDA,Fase Regular
3/15/2026,Top 14 2026,Fecha 1,13:59:46,15:22:31,Ball in Play,,0:26:30,0:26:52,22.6,BAC,Ganado,IDA,Fase Regular
3/15/2026,Top 14 2026,Fecha 1,13:59:46,15:22:31,Ball in Play,,0:27:29,0:27:35,5.74,BAC,Ganado,IDA,Fase Regular
3/15/2026,Top 14 2026,Fecha 1,13:59:46,15:22:31,Ball in Play,,0:28:34,0:28:53,18.84,BAC,Ganado,IDA,Fase Regular
3/15/2026,Top 14 2026,Fecha 1,13:59:46,15:22:31,Ball in Play,,0:30:08,0:30:23,14.8,BAC,Ganado,IDA,Fase Regular
3/15/2026,Top 14 2026,Fecha 1,13:59:46,15:22:31,Ball in Play,,0:31:08,0:31:13,4.8,BAC,Ganado,IDA,Fase Regular
3/15/2026,Top 14 2026,Fecha 1,13:59:46,15:22:31,Ball in Play,,0:32:13,0:32:29,15.8,BAC,Ganado,IDA,Fase Regular
3/15/2026,Top 14 2026,Fecha 1,13:59:46,15:22:31,Ball in Play,,0:33:34,0:34:02,27.94,BAC,Ganado,IDA,Fase Regular
