Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Partido,Resultado ,Rueda,Etapa
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,0:00:18,0:00:41,22.98,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,0:01:04,0:01:54,50.5,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,0:02:40,0:02:54,14.2,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,0:04:23,0:05:00,37.86,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,0:05:25,0:05:47,22.3,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,Verde - Penal,0:06:56,0:08:26,90.36,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,0:08:26,0:09:06,39.312,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,0:10:10,0:10:30,20.784,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,0:11:11,0:12:06,55.106,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,0:13:06,0:13:17,11.342,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,0:13:44,0:14:34,50.617,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,0:15:11,0:16:09,58.034,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,Rojo - Line Out,0:17:53,0:19:09,75.858,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,0:20:35,0:20:38,3.548,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,0:21:26,0:21:39,12.834,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,Verde - Try,0:22:37,0:25:35,178.257,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,Rojo - Scrum,0:27:12,0:28:17,64.649,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,Rojo - Penal,0:30:10,0:31:36,85.816,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,Verde - Try,0:33:06,0:34:52,105.413,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,0:36:24,0:36:41,17.208,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,Verde - Try,0:36:41,0:37:45,63.979,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,0:39:29,0:39:46,16.481,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,Verde - Penal,0:40:38,0:42:23,104.882,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,0:44:04,0:44:18,14.077,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,0:46:01,0:46:25,23.6,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,0:47:09,0:48:00,50.92,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,0:48:59,0:49:29,30.105,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,0:50:57,0:51:48,50.406,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,Rojo - Try,0:53:47,0:54:52,64.895,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,Verde - Try,0:55:49,0:57:11,82.17,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,0:58:39,0:58:48,9,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,0:59:19,0:59:50,30.531,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,1:00:38,1:00:40,2.278,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,Verde - Try,1:00:44,1:01:49,64.776,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,1:03:30,1:03:41,10.929,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,1:04:04,1:04:12,7.938,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,1:04:47,1:05:06,18.921,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,Rojo - Scrum,1:05:37,1:06:44,66.79,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,1:07:44,1:08:11,26.782,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,1:10:52,1:11:07,14.587,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,1:11:53,1:12:43,49.793,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,1:12:48,1:13:04,16.433,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,1:14:04,1:14:36,32.779,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,1:15:12,1:15:27,14.955,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,1:17:06,1:17:13,6.377,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,1:17:15,1:17:46,31.085,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,1:18:39,1:19:03,24.208,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,1:20:23,1:20:47,23.931,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,1:21:29,1:21:38,9.224,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,Verde - Try,1:22:38,1:23:58,80.273,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,1:25:07,1:25:33,26.502,LPRC 2,Ganado,VUELTA,Fase Regular
30-08-26,TOP 14 2026,Fecha 20,19:23:14,20:49:32,Ball in Play,,1:26:04,1:26:12,8.119,LPRC 2,Ganado,VUELTA,Fase Regular
